nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
University of Illinois/Willard,Champaign/Urbana,IL,40.104209,-88.219941,"1005 S Lincoln Ave, Urbana, IL 61801"
Charleston AFB/International,Charleston,SC,32.778797,-79.925672,"Concord Street (at Vendue Range), Charleston, SC 29401"
West Virginia International Yeager,Charleston/Dunbar,WV,38.360687,-81.734901,"1 Carney Ct, Dunbar, WV 25064"
Cyril E King,Charlotte Amalie,VI,18.341878,-64.930465,"200- 5D-4 Altona & Welgunst, Charlotte Amalie St. Thomas 00802"
Charlotte Douglas International,Charlotte,NC,35.226182,-80.842859,"101 S Tryon St, Charlotte, NC 28280"
Rafael Hernandez,Aguadilla,PR,18.429572,-67.154337,Aguadilla
Charlottesville Albemarle,Charlottesville,VA,38.030445,-78.487231,"418 W Main St, Charlottesville, VA 22903"
Lovell Field,Chattanooga,TN,37.960715,-100.867198,"706 E Maple, Garden City, Kansas, Garden City, KS 67846"
Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,41.158063,-104.834043,"4610 Carey Ave, Cheyenne, WY 82001"
Chicago Midway International,Chicago,IL,41.875859,-87.626504,"24 E Ida B Wells Dr (at Wabash Ave.), Chicago, IL 60605"
Chicago O'Hare International,Chicago,IL,41.875859,-87.626504,"24 E Ida B Wells Dr (at Wabash Ave.), Chicago, IL 60605"
Alexandria International,Alexandria,LA,37.964774,-100.855758,"302 Fleming St, Garden City, KS 67846"
Henry E. Rohlsen,Christiansted,VI,17.746421,-64.704652,
Cincinnati/Northern Kentucky International,Cincinnati,OH,39.16685,-84.465861,"1799 Tennessee Ave (at Transpark Dr), Cincinnati, OH 45229"
North Central West Virginia,Clarksburg/Fairmont,WV,39.484326,-80.143154,"218 Adams St, Fairmont, WV 26554"
Cleveland-Hopkins International,Cleveland,OH,41.499193,-81.690846,"2015 E 4th St, Cleveland, OH 44115"
Yellowstone Regional,Cody,WY,44.526272,-109.062569,"1285 Sheridan Ave, Cody, WY 82414"
Easterwood Field,College Station/Bryan,TX,30.663642,-96.380488,"Bryan, TX 77803"
City of Colorado Springs Municipal,Colorado Springs,CO,38.845774,-104.826124,"30 W Dale St (at Cascade Ave.), Colorado Springs, CO 80903"
Columbia Regional,Columbia,MO,38.951176,-92.339815,"100 W Broadway (Garth Ave.), Columbia, MO 65203"
Columbia Metropolitan,Columbia,SC,34.00177,-81.034217,"1221 Main St, Columbia, SC 29201"
Lehigh Valley International,Allentown/Bethlehem/Easton,PA,40.687679,-75.218227,"201 S 7th St, Easton, PA 18042"
Columbus Airport,Columbus,GA,32.467125,-84.974216,"1251 Wynnton Rd, Columbus, GA 31906"
Golden Triangle Regional,Columbus,MS,37.975497,-100.850907,"1727 E Kansas Plz, Garden City, KS 67846"
John Glenn Columbus International,Columbus,OH,39.95947,-82.998928,"160 S High St (E Rich St), Columbus, OH 43215"
Rickenbacker International,Columbus,OH,39.962102,-82.997545,"20 S 3rd St, Columbus, OH 43215"
Concord Padgett Regional,Concord,NC,35.4078839779058,-80.58226509695875,"24 Spring St SW, Concord, NC 28025"
Merle K Mudhole Smith,Cordova,AK,60.542671,-145.756574,"101 Lake Avenue, Cordova , 99574, United States, Cordova, AK 99574"
Corpus Christi International,Corpus Christi,TX,27.796701,-97.394539,"802 N Carancahua St (at Downtown Corpus Christi), Corpus Christi, TX 78401"
Dallas Love Field,Dallas,TX,32.8471,-96.8518,"8008 Herb Kelleher Way (at Mockingbird Ln), Dallas, TX 75235"
Dallas/Fort Worth International,Dallas/Fort Worth,TX,32.747846,-97.32653,"1502 Commerce St (at 15th St), Fort Worth, TX 76102"
James M Cox/Dayton International,Dayton,OH,39.761791,-84.185235,"41 Madison St (2nd St), Dayton, OH 45402"
Daytona Beach International,Daytona Beach,FL,29.22216,-81.005522,"250 N Atlantic Ave, Daytona Beach, FL 32118"
Alpena County Regional,Alpena,MI,45.064318,-83.433805,"225 River St, Alpena, MI 49707"
Deadhorse Airport,Deadhorse,AK,70.19751,-148.457855,"1 Airport Way, Prudhoe Bay, AK 99734"
Decatur Airport,Decatur,IL,39.839784,-88.976494,"1295 W Wood St, Decatur, IL 62522"
Del Rio International,Del Rio,TX,29.360956,-100.898629,"120 E Garfield St, Del Rio, TX 78840"
Denver International,Denver,CO,39.737125,-104.989296,"100 W 14th Avenue Pkwy (btwn Broadway & Bannock St), Denver, CO 80204"
Rick Husband Amarillo International,Amarillo,TX,35.207576,-101.832501,"550 S Buchanan St, Amarillo, TX 79101"
Des Moines International,Des Moines,IA,41.596843,-93.613914,"909 Robert D Ray Dr (E University), Des Moines, IA 50309"
Detroit Metro Wayne County,Detroit,MI,42.330211,-83.047467,"645 Griswold St, Detroit, MI 48226"
Devils Lake Regional,Devils Lake,ND,48.113212,-98.864384,"446 College Dr N, Devils Lake, ND 58301"
Dickinson - Theodore Roosevelt Regional,Dickinson,ND,46.879706,-102.788755,"25 2nd Ave W, Dickinson, ND 58601"
Dillingham Airport,Dillingham,AK,59.0447,-158.506,"708 Airport Rd, Dillingham, AK 99576"
Dodge City Regional,Dodge City,KS,37.751404,-100.022009,"201 4th Ave (W Trail Street), Dodge City, KS 67801"
Dothan Regional,Dothan,AL,37.967543,-100.871894,"205 E Laurel St, Garden City, KS 67846"
Dubuque Regional,Dubuque,IA,42.504611,-90.66774,"Iowa, Dubuque, IA 52001"
Duluth International,Duluth,MN,46.781401,-92.105036,"520 W Superior St (at S 5th Ave W), Duluth, MN 55802"
Durango La Plata County,Durango,CO,37.27525,-107.879828,"1060 Main Ave, Durango, CO 81301"
Eagle County Regional,Eagle,CO,39.65796760568257,-106.82851195335388,"100 Fairgrounds Rd, Eagle, CO 81631"
Chippewa Valley Regional,Eau Claire,WI,44.810389,-91.499344,"310 S Barstow St, Eau Claire, WI 54701"
El Paso International,El Paso,TX,31.761138,-106.486728,"325 N Kansas St, El Paso, TX 79901"
Ted Stevens Anchorage International,Anchorage,AK,61.1741,-149.998,"5000 W Intl Airport Rd, Anchorage, AK 99502"
Elko Regional,Elko,NV,40.831773,-115.783242,"674 Cimarron Way (Mountain City Hwy), Elko, NV 89801"
Elmira/Corning Regional,Elmira/Corning,NY,42.143584,-77.054692,"1 W Market St (at Centerway Sq), Corning, NY 14830"
Erie International/Tom Ridge Field,Erie,PA,42.127724,-80.084482,"101 Boston Store Pl, Erie, PA 16501"
Delta County,Escanaba,MI,45.750221,-87.076685,"412 N Lincoln Rd, Escanaba, MI 49829"
Mahlon Sweet Field,Eugene,OR,44.051472,-123.104653,"755 Monroe St (at W 6th St), Eugene, OR 97402"
Evansville Regional,Evansville,IN,37.97158,-87.565438,"200 SE Martin Luther King Jr Blvd (at Walnut St.), Evansville, IN 47713"
Snohomish County,Everett,WA,47.981191,-122.206097,"2720 Rockefeller Ave, Everett, WA 98201"
Fairbanks International,Fairbanks,AK,64.859613,-147.701334,"433 Harold Bentley Ave, Fairbanks, AK 99701"
Hector International,Fargo,ND,46.874184,-96.789225,"624 Main Ave, Fargo, ND 58103"
Northwest Arkansas National,Fayetteville,AR,36.068752,-94.17596,"435 N Garland Ave, Fayetteville, AR 72701"
Appleton International,Appleton,WI,44.26156,-88.411352,"415 W College Ave, Appleton, WI 54911"
Fayetteville Regional/Grannis Field,Fayetteville,NC,35.05644,-78.899357,"1209 Hay St (at Highland St.), Fayetteville, NC 28305"
Flagstaff Pulliam,Flagstaff,AZ,35.198994,-111.648162,"120 N Leroux St (at E Birch Ave), Flagstaff, AZ 86001"
Bishop International,Flint,MI,43.010037,-83.667196,"2211 Lapeer Rd, Flint, MI 48503"
Fort Dodge Regional,Fort Dodge,IA,42.501552,-94.154342,"3022 5th Ave S, Fort Dodge, IA 50501"
Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,26.071452,-80.144384,"100 Terminal Dr (I-595), Fort Lauderdale, FL 33315"
