nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
Portsmouth International at Pease,Portsmouth,NH,43.073934,-70.759969,"40 Court St (Middle Street), Portsmouth, NH 03801"
Prescott Regional Ernest A Love Field,Prescott,AZ,34.542175,-112.469619,"130 W Gurley St, Prescott, AZ 86301"
Rhode Island Tf Green International,Providence,RI,41.825923,-71.407713,"2 College St (Benefit Street), Providence, RI 02903"
Provo Municipal,Provo,UT,40.234901,-111.655586,"190 E 100 N, Provo, UT 84606"
Pueblo Memorial,Pueblo,CO,38.264794,-104.608855,"125 Riverwalk Pl, Pueblo, CO 81003"
Pullman Moscow Regional,Pullman,WA,46.734175,-117.17075,"600 NE Colorado St, Pullman, WA 99163"
Punta Gorda Airport,Punta Gorda,FL,26.934472,-82.050673,"Taylor St (Olympia), Punta Gorda, FL 33950"
Raleigh-Durham International,Raleigh/Durham,NC,35.771161,-78.639666,"2 E South St, Raleigh, NC 27601"
Rapid City Regional,Rapid City,SD,44.078379,-103.228956,"610 Quincy St (btwn 6th & 7th St), Rapid City, SD 57701"
Wiley Post/Will Rogers Memorial,Barrow,AK,71.288896,-156.779816,"1815 Momegana St, Barrow, AK 99723"
Redding Municipal,Redding,CA,40.58951,-122.380186,"700 Auditorium Dr, Redding, CA 96001"
Reno/Tahoe International,Reno,NV,39.4991,-119.768,"2001 E Plumb Ln, Reno, NV 89502"
Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,37.967469,-100.8743,"117 W Grant Ave, Garden City, KS 67846"
Rhinelander/Oneida County,Rhinelander,WI,45.638242,-89.413277,"33 N Brown St, Rhinelander, WI 54501"
Richmond International,Richmond,VA,37.548779,-77.463885,"1812 W Main St (between Allen & Granby), Richmond, VA 23220"
Central Wyoming Regional,Riverton/Lander,WY,42.821598,-108.732096,"1156 S 2nd St, Lander, WY 82520"
Roanoke Blacksburg Regional,Roanoke,VA,37.274799,-79.939587,"110 Shenandoah Ave NE, Roanoke, VA 24016"
Rochester International,Rochester,MN,44.021776,-92.460478,"101 2nd St SE (Civic Center Drive), Rochester, MN 55904"
Frederick Douglass Grtr Rochester International,Rochester,NY,43.153817,-77.610936,"1 War Memorial Sq (Blue Cross Arena), Rochester, NY 14614"
Southwest Wyoming Regional,Rock Springs,WY,41.596395,-109.202444,"1646 9th St, Rock Springs, WY 82901"
Chicago/Rockford International,Rockford,IL,42.272445,-89.093848,"206 N Main St, Rockford, IL 61101"
Roswell Air Center,Roswell,NM,33.404156,-104.52371,"100 W 11th St (at N. Main Street), Roswell, NM 88201"
Sacramento International,Sacramento,CA,38.575884,-121.503558,"415 P St, Sacramento, CA 95814"
Jack Brooks Regional,Beaumont/Port Arthur,TX,37.974664,-100.871909,"1011 N Main St, Garden City, KS 67846"
MBS International,Saginaw/Bay City/Midland,MI,43.614018,-84.235688,"716 George St, Midland, MI 48640"
Francisco C. Ada Saipan International,Saipan,TT,10.649522,-61.514125,"Wrightson Rd., Port of Spain"
Salina Regional,Salina,KS,38.844595,-97.611366,"301 W Elm St (9th Street), Salina, KS 67401"
Salt Lake City International,Salt Lake City,UT,40.759982,-111.884527,"210 E 400 S, Salt Lake City, UT 84111"
Scott AFB MidAmerica St Louis,Belleville,IL,38.520644,-89.983357,"620 N Illinois St, Belleville, IL 62220"
San Angelo Regional/Mathis Field,San Angelo,TX,31.456878,-100.432762,"1 Love St (Oakes Street), San Angelo, TX 76903"
San Antonio International,San Antonio,TX,37.967672,-100.874644,"121 W Grant Ave (btwn N 8th & Main St.), Garden City, KS 67846"
San Diego International,San Diego,CA,32.716472,-117.15997,"1055 5th Ave (btwn Broadway & C St), San Diego, CA 92101"
Bellingham International,Bellingham,WA,48.75421,-122.478847,"210 Central Ave, Bellingham, WA 98225"
San Francisco International,San Francisco,CA,37.775455,-122.420249,"50 Oak St (btwn Van Ness Ave & Franklin St), San Francisco, CA 94102"
Norman Y. Mineta San Jose International,San Jose,CA,37.36757,-121.927444,"1701 Airport Blvd (at Skyport Dr), San Jose, CA 95110"
